Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Rainfall,Crop,Soil_Type,Variety,Soil_Moisture
46.88,39.17,66.54,36.99937177,80.60400615,48.8866291,Maize,Sandy,Sweet,18.52
37.57,60.26,125.19,29.64612248,46.92351453,249.0055083,Maize,Sandy,Dent,30.41
75.06,82.17,132.53,26.45997573,69.34971436,248.2393705,Tomato,Loamy,Roma,64.59
47.9,68.26,105.87,26.83456366,34.81722388,199.3814226,Wheat,Peaty,Durum,44.67
52.75,51.65,59.19,23.17290116,55.89328642,28.00160742,Potato,Peaty,Yukon Gold,39.92
55.19,51.43,71.07,14.39589966,58.10742954,49.37856625,Potato,Loamy,Red,28.92
48.16,68.48,136.1,13.29254181,35.20675102,274.1717853,Maize,Saline,Sweet,44.36
44.4,64.68,106.53,10.03952825,42.27117721,204.2814569,Tomato,Silt,Cherry,56.09
60.17,73.77,140.78,34.35073229,73.88828088,236.8123097,Sugarcane,Sandy,Co 86032,55.66
41,73.54,146.95,21.08345459,62.87399659,294.1640901,Maize,Sandy,Sweet,40.53
32.09,69.48,153.94,11.46540731,53.05762442,313.8002982,Maize,Sandy,Dent,38.62
57.35,61.31,108.77,37.33977934,66.35508663,189.2239507,Rice,Sandy,Basmati,48.65
47.91,62.07,106.83,36.89246275,98.32459693,186.9608826,Wheat,Sandy,Soft Red,29.59
80.12,97.58,163.85,43.21305697,74.54482351,289.8889424,Maize,Peaty,Sweet,81.47
67.71,91.4,152.67,18.03461005,52.5633151,307.5437938,Rice,Peaty,Jasmine,85
62.84,52.32,60.66,24.54865825,56.70903552,52.09589529,Rice,Peaty,Arborio,55.83
45.03,40.01,74.69,34.74549876,50.04428265,97.45237023,Rice,Sandy,Jasmine,27.45
68.07,93.02,155.04,26.56200217,56.29583447,299.6171378,Maize,Peaty,Dent,77.22
50.13,50.14,69.66,19.79646155,67.94349493,117.3213422,Wheat,Saline,Soft Red,29.1
76.02,80.56,110.17,40.73236561,75.0519124,139.5367057,Potato,Loamy,Yukon Gold,44.4
68.59,57.15,74.16,26.43640978,95.04720242,43.23217001,Potato,Clay,Russet,52.14
60.71,45.53,77.26,40.34527961,82.62216501,62.50986251,Sugarcane,Sandy,Co 0238,30.13
45.08,54.03,77.46,35.99179728,93.20336129,103.5319697,Wheat,Sandy,Hard Red,19.75
45.29,53.12,69.86,11.22501784,42.24230213,93.70879886,Tomato,Loamy,Beefsteak,24.88
72.74,59.18,72.53,11.33518084,77.0850909,90.31762441,Rice,Peaty,Jasmine,85
74.22,56.1,59.76,37.19348792,96.1089775,41.97637967,Wheat,Clay,Hard Red,37.18
78.32,78.77,127.47,21.74413987,36.24148626,220.5473337,Sugarcane,Clay,Co 0238,85
55.89,86.82,146.9,11.91651147,45.99092492,286.3208509,Tomato,Loamy,Roma,56.04
77.54,87.44,131.76,11.48554501,88.67786604,233.046781,Rice,Peaty,Basmati,85
83.32,70.51,95.09,21.98006968,88.83576876,124.2440878,Sugarcane,Silt,Co 99004,85
23.67,72.3,176.66,13.72181797,44.90114165,372.2105226,Maize,Sandy,Sweet,33.93
78.77,108.36,184.72,43.37870038,67.77429772,325.4298101,Potato,Clay,Yukon Gold,85
56.68,71.37,134.89,25.88722487,33.7311562,243.3167411,Maize,Peaty,Flint,58.65
52.41,56.91,115,19.78295494,86.66380069,197.0073001,Maize,Sandy,Dent,35.57
52.83,59.03,80.27,25.48843547,38.65480542,121.1965745,Tomato,Loamy,Roma,26.72
77.11,52.86,61.48,20.42270356,77.52687813,33.06927116,Rice,Peaty,Jasmine,78.8
82.41,72.68,98.49,25.74712565,96.4411505,122.9044568,Rice,Silt,Jasmine,85
65.23,62.14,101.32,32.61518173,49.28795208,149.3906878,Sugarcane,Saline,Co 86032,46.37
88.45,88.46,128.92,22.13659506,76.87819526,210.5893361,Rice,Loamy,Jasmine,85
69.71,82.97,137.71,32.72895641,62.89660856,250.7283437,Tomato,Peaty,Beefsteak,79.28
53.48,53.38,96.97,34.85966081,33.61337612,153.3931603,Maize,Saline,Flint,26.7
61.13,99.6,169.43,11.58879701,74.33329055,354.5887793,Wheat,Clay,Hard Red,81.7
32.89,87.08,169.98,11.68985897,49.98170866,379.9403267,Tomato,Sandy,Roma,52.13
56.96,70.06,108.49,14.9220454,61.91015874,185.5000253,Maize,Clay,Sweet,54.41
73.95,59.74,83.88,12.72505284,56.86506269,76.24677015,Sugarcane,Loamy,Co 0238,47.03
75.31,102.77,183.45,42.77913705,57.88609492,365.7389857,Maize,Saline,Dent,60.6
68.51,95.66,142.04,16.84531694,73.00979061,267.2377353,Rice,Silt,Arborio,85
56.53,56.91,92.78,44.05560674,75.42165883,132.5184861,Rice,Sandy,Jasmine,38.88
55.77,45.84,32.85,41.54943915,45.94387429,23.14899306,Wheat,Clay,Soft Red,14.97
49.98,80.11,152.61,30.52855092,89.4578873,287.4816657,Maize,Sandy,Sweet,39.56
73.76,55.98,58.08,43.26670753,54.86578882,40.64023412,Sugarcane,Clay,Co 86032,37.39
70.53,57.41,62.89,22.19464554,77.26450896,52.36338061,Rice,Silt,Jasmine,60.81
27.88,44.62,100.69,10.0593915,35.14617618,167.5369431,Rice,Sandy,Arborio,39.96
83.78,104.47,172.42,17.70125238,74.63573899,344.1224896,Rice,Loamy,Basmati,85
82.23,75.34,101.52,44.06529151,64.70378933,138.5065208,Rice,Clay,Arborio,78.75
72.78,66.43,106.35,32.74839046,76.01412158,150.3655938,Maize,Silt,Flint,52.95
73.48,88.19,140.29,22.70404048,78.71173708,254.8563875,Rice,Saline,Arborio,85
32.4,41.57,64.6,17.20226675,71.25881354,46.19350486,Potato,Sandy,Russet,21.23
66.99,48.32,63.32,40.98713318,70.75972076,56.36676254,Maize,Silt,Sweet,24.38
75.4,56.14,76.1,31.08067663,64.20844967,57.71922482,Sugarcane,Peaty,Co 99004,64.23
82.17,110.61,196.86,25.29900047,66.99501972,398.0168604,Sugarcane,Peaty,Co 86032,85
84.09,94.99,158.31,43.98416509,89.4474302,290.0946068,Maize,Silt,Dent,67.72
24.42,48.79,114.8,22.46039305,47.15257545,171.9406719,Potato,Sandy,Yukon Gold,24.95
42.36,70,136.17,39.02417119,66.44424536,264.4280898,Wheat,Sandy,Hard Red,31.58
55.97,74.8,118.16,30.56189831,31.55319492,201.0053765,Potato,Peaty,Yukon Gold,59.85
39.33,80.11,152.74,19.64696042,73.79166129,312.2701693,Wheat,Sandy,Hard Red,40.01
58.54,94.57,169.46,38.32170347,52.0694552,344.4972378,Tomato,Silt,Roma,71.93
57.17,91.09,159.96,19.949194,66.66635259,302.0058335,Potato,Silt,Russet,75.78
72.97,83.18,126.19,22.96279951,99.29610076,240.2750486,Maize,Saline,Dent,56.42
78.47,51.44,59.92,39.0882342,61.33838462,52.65281316,Rice,Clay,Jasmine,57.96
55.65,70.69,117.71,26.73268598,52.51025791,186.8948455,Potato,Silt,Red,50.56
58.72,66.52,141.98,44.32773938,49.99322173,236.524676,Sugarcane,Sandy,Co 0238,48.7
36.51,36.34,32.5,23.79592832,32.52864525,27.64940962,Wheat,Silt,Hard Red,15.41
60.21,75.16,140.64,32.37722982,31.16881696,262.0913238,Maize,Peaty,Sweet,62.96
81.77,105.11,158.38,20.24487946,92.03226847,312.5396032,Maize,Loamy,Dent,70.84
28.63,60.87,120.83,25.86095692,43.54552255,195.7473253,Potato,Sandy,Yukon Gold,30.35
92.87,87.34,129.34,15.95826442,93.64523387,209.9435645,Rice,Loamy,Arborio,85
65.13,64.46,99.26,14.72167562,89.13146069,142.497042,Wheat,Peaty,Hard Red,61.7
82.41,92.9,144.25,32.36867471,81.40636877,261.7248625,Sugarcane,Silt,Co 99004,85
87.31,86.59,131.18,36.01183843,99.23151959,208.2018517,Maize,Clay,Flint,71.84
47.11,46.31,63.17,21.57334875,33.42463919,92.61320016,Maize,Peaty,Sweet,36.51
57.72,91.02,162.53,22.94975332,38.78940411,352.7950627,Wheat,Peaty,Durum,76.97
76.98,84.29,110,43.23450997,85.67939416,196.5119564,Tomato,Silt,Cherry,66.71
77.34,76.43,126.17,24.0727973,53.69156981,169.1008295,Sugarcane,Loamy,Co 99004,64.32
73.04,75.54,111.35,22.56288747,94.81436773,145.8296747,Potato,Silt,Yukon Gold,72.77
52.45,41.46,62.02,18.47036198,38.34726512,67.74914134,Maize,Clay,Dent,31.96
43.78,55.27,103.29,38.40448471,60.40252725,137.4621039,Potato,Sandy,Red,29.57
77.39,104.9,172.69,29.84200858,77.56062425,368.1063988,Tomato,Peaty,Roma,85
70.05,94.42,174.47,14.76388855,47.12830546,336.0749116,Sugarcane,Peaty,Co 0238,85
51.61,56.45,84.95,30.46413009,40.6088069,96.76841661,Potato,Peaty,Yukon Gold,39.92
69.03,59.24,71.16,42.30791352,92.26981348,30.49197028,Potato,Silt,Yukon Gold,39.89
58.05,97.3,150.09,11.93026058,57.9284431,311.6582525,Tomato,Loamy,Roma,63.75
60.65,97.78,172.63,23.03350056,63.61864319,348.6896033,Tomato,Silt,Cherry,82.15
77.79,111.12,186.34,24.65213505,95.56051061,337.1919904,Potato,Peaty,Yukon Gold,85
68.6,64.13,93.31,12.47829007,86.67620204,128.2451305,Maize,Peaty,Sweet,65.77
57.54,46.4,56.79,38.61144809,46.2775132,58.23594127,Wheat,Peaty,Hard Red,28.98
60.33,67.71,95.72,20.79332358,92.41803092,161.1156849,Wheat,Saline,Durum,41.03
59.99,61.64,86.84,14.99457653,67.48761001,112.0542993,Potato,Silt,Russet,58.2
77.67,96.02,158.61,23.95714124,86.4777472,289.8714562,Maize,Clay,Sweet,83.71
84.11,58.08,81.1,32.35610911,67.73132352,90.24178906,Sugarcane,Saline,Co 99004,55.36
72.18,62.08,96.25,14.43204163,87.38996911,128.0775246,Maize,Clay,Flint,62.97
86.1,66.3,75.46,31.22598867,91.25361973,49.50140566,Rice,Loamy,Arborio,61.23
68.85,77.94,110.33,37.43418715,90.82469248,194.6257511,Maize,Saline,Sweet,39.84
54.43,62.79,84.98,20.89949928,50.02187001,145.0790234,Tomato,Peaty,Beefsteak,52.87
69.22,78.27,122.41,18.08892274,94.74264637,209.4516735,Maize,Silt,Dent,66.63
84.98,112.09,189.59,15.45481693,86.26371621,388.7015387,Sugarcane,Peaty,Co 0238,85
77.24,102.71,177.76,26.94317989,55.65179115,355.4041586,Sugarcane,Silt,Co 86032,85
89.51,94.95,136.9,29.94310883,97.50353318,234.9598662,Rice,Clay,Arborio,85
39,74.05,161.55,15.32063634,80.06731589,317.6006461,Maize,Sandy,Dent,38.12
54.68,85.26,145.13,19.91819604,84.34474767,297.8845253,Wheat,Saline,Durum,49.81
70.38,108,188.06,11.22155337,98.89368363,357.595745,Potato,Peaty,Russet,85
56.15,60.37,94.42,14.45467782,47.69502745,114.5824986,Potato,Clay,Russet,53.83
69.02,72.26,115.76,29.24360533,85.5658403,133.5051587,Potato,Silt,Yukon Gold,62.75
52.52,68.66,114.11,33.45831455,34.55738145,212.9878194,Tomato,Clay,Beefsteak,54.17
70.22,97.88,165.52,22.73753843,41.54779099,325.550325,Rice,Clay,Basmati,85
66.29,94.11,157.55,10.24406523,95.07344495,303.131651,Tomato,Silt,Roma,85
43.61,54.75,85.72,33.23389657,41.17339825,138.7630316,Wheat,Saline,Durum,19.75
81.4,87.55,128.79,24.70980683,92.73510818,213.0671724,Rice,Saline,Basmati,85
97.7,88.74,138.93,43.47304546,86.54793632,224.5152391,Sugarcane,Clay,Co 99004,85
68.54,75.21,104.18,29.10409265,95.42226031,169.6399109,Wheat,Clay,Durum,51.22
29.15,71.51,152.87,31.87171505,33.20904625,330.2574411,Wheat,Sandy,Durum,28.86
72.95,75.77,114.99,19.73186091,81.74434154,141.2109624,Potato,Loamy,Red,54.32
56.91,98.95,177.65,29.2379666,39.46803958,399.5865761,Wheat,Silt,Soft Red,68.3
85.94,90.62,146.08,14.11730857,64.96404722,225.1660002,Sugarcane,Loamy,Co 0238,84.68
62.14,45.54,46.22,42.39429745,37.34239371,25.26062153,Rice,Peaty,Basmati,39.98
53.24,50.38,56.49,44.03079122,39.80102238,55.29864355,Tomato,Peaty,Beefsteak,31.5
49.29,80.54,172.79,26.66843391,35.18185659,337.1239128,Sugarcane,Sandy,Co 0238,60.97
79.92,106.68,193.81,17.24655885,95.38651808,386.9274364,Maize,Clay,Dent,85
86.94,58.1,72.81,39.19841222,79.09995501,61.09126663,Rice,Clay,Basmati,70.11
45,54.91,114.39,10.9584897,75.39638953,206.6312127,Wheat,Sandy,Soft Red,39.46
70.04,58.94,100.97,38.91897675,98.60784996,102.7901175,Sugarcane,Sandy,Co 0238,41.17
38.24,78.6,149.43,34.1677598,44.08223315,333.2556116,Tomato,Sandy,Cherry,41.19
70.73,81.63,125.96,34.65193682,61.34004447,223.819362,Wheat,Loamy,Hard Red,44.35
82.83,86.23,145.42,43.98805943,46.93961481,246.8038085,Sugarcane,Silt,Co 0238,85
75.39,81.74,113.84,27.41627073,73.33320875,182.957134,Rice,Silt,Arborio,85
79.97,79.86,118.08,25.06709159,85.95901409,203.2673676,Maize,Loamy,Flint,53.11
59.68,91.69,156.43,31.8529346,38.78230032,274.1803239,Potato,Clay,Yukon Gold,70.15
61.24,94.57,164.88,10.92894745,60.12018162,300.4212034,Potato,Clay,Russet,85
68.17,57.17,73.41,39.36902367,82.33997111,84.04843926,Maize,Silt,Sweet,36.04
56.15,52.34,55.13,13.78822623,74.84354187,56.98438602,Wheat,Clay,Durum,36.21
59.38,74.6,110.15,34.01396129,43.54988963,212.9013382,Tomato,Saline,Roma,45.33
30.3,66.27,136.83,16.87370796,63.57036847,281.7405051,Maize,Sandy,Dent,31.19
69.89,86.37,134.67,17.56888429,70.79562868,207.0355149,Potato,Loamy,Russet,58.45
22.32,44.98,91.39,11.79903662,55.79414323,114.2201817,Potato,Sandy,Yukon Gold,25.55
86.37,90.78,140.73,30.9853417,91.23791871,236.1084632,Sugarcane,Saline,Co 86032,82.34
58.96,37.99,48.82,11.08752569,30.93128089,24.71726694,Sugarcane,Clay,Co 99004,32.12
77.9,79.85,111.43,40.94556385,86.16303239,178.4782606,Wheat,Loamy,Durum,42.17
32.75,32.66,50.64,31.90862264,70.1028677,29.90413616,Tomato,Sandy,Roma,12.96
64.85,59.7,79.16,19.46625118,85.29804599,64.96014199,Potato,Peaty,Red,63.22
82.1,86.45,139,38.67928376,64.93217478,231.0423329,Sugarcane,Saline,Co 99004,65.9
35.94,66.17,137.48,14.88563956,40.80873714,274.2381375,Rice,Sandy,Basmati,55.94
79.16,64.68,108.35,22.66986927,61.01471249,128.7127856,Sugarcane,Peaty,Co 0238,85
65.23,100.23,171.85,15.4518505,71.58279558,362.3438152,Wheat,Clay,Hard Red,83.35
65.21,81.94,161.98,18.27068092,39.82147668,317.6990742,Sugarcane,Silt,Co 86032,85
82.83,101.77,163.3,22.4077568,92.15172153,318.1901731,Wheat,Loamy,Durum,68.33
80.2,106.07,175.72,12.9207379,91.60324397,371.1425228,Rice,Peaty,Jasmine,85
44.96,47.68,73.08,23.19172935,86.088938,99.48246168,Rice,Sandy,Basmati,33.87
55.59,48.6,59.43,23.00348488,37.83994483,60.54955799,Rice,Silt,Jasmine,41.63
60.15,82.66,114.53,21.35797786,62.52330052,237.0696813,Tomato,Peaty,Cherry,78.82
56.94,84.41,137.96,21.88071607,34.26853481,285.4414349,Wheat,Loamy,Hard Red,46.26
85.54,82.17,118.93,35.9415821,89.13822537,204.7541329,Rice,Peaty,Arborio,85
82.04,98.41,149.93,43.29247409,99.12306731,282.0073282,Wheat,Peaty,Soft Red,75.81
60.88,71.93,108.8,19.10939287,45.52189011,171.2073178,Potato,Loamy,Red,50.57
28.88,71.13,156.62,17.70405328,43.8290226,336.8295411,Wheat,Sandy,Soft Red,35.86
23.89,59.09,125.78,13.81910733,59.30740587,251.0905772,Wheat,Sandy,Soft Red,27.41
58.26,80.86,150.39,14.86816712,42.44987226,306.9781885,Maize,Clay,Flint,74.21
55.14,41.02,60.14,11.64300787,54.22702949,44.40245454,Maize,Loamy,Dent,25.27
75.06,56.68,64.64,40.96714312,90.45595389,38.83965074,Maize,Peaty,Flint,42.23
69.57,74.68,111.65,20.83493458,86.98166577,180.5190816,Tomato,Silt,Cherry,69.03
70.53,64.32,98.85,21.06383352,38.76680203,154.4262491,Sugarcane,Peaty,Co 86032,76.02
33.69,44.74,73.25,33.89183455,64.3469223,81.46443841,Potato,Sandy,Russet,14.58
47.87,99.24,201.29,24.16519249,76.5791573,383.3965705,Potato,Sandy,Red,56.34
49.68,76.13,137.87,30.08044907,77.33261104,277.9582464,Tomato,Sandy,Cherry,42.9
67.8,84.96,132.45,27.57214976,80.42802321,221.6963447,Potato,Saline,Russet,55.83
54.91,87.45,150.35,17.75763614,72.80544379,297.2653478,Tomato,Silt,Beefsteak,73.2
53.86,44.2,40.65,25.79409354,76.87666773,31.29547463,Tomato,Saline,Beefsteak,28.19
65.34,79.87,121.68,29.16168427,71.17549361,229.4183513,Wheat,Silt,Soft Red,60.32
52.16,90.15,165.52,16.7931955,45.59868271,328.7522672,Maize,Silt,Sweet,65.22
45.73,96.17,182.75,37.53877026,58.79024426,367.0443899,Potato,Sandy,Yukon Gold,49.34
58.33,55.63,95.5,23.40636833,78.00710019,126.1338176,Sugarcane,Sandy,Co 99004,45.34
49.54,94.77,169.9,13.36674931,52.9075136,342.636776,Potato,Saline,Russet,67.15
61.21,100.88,163.05,37.2978047,62.55068465,356.0847461,Wheat,Saline,Durum,54.19
67.71,108.21,181.9,34.81400085,75.88712595,317.2776437,Potato,Clay,Russet,85
86.84,110.97,205.65,22.00115996,93.37762602,398.5239164,Sugarcane,Clay,Co 0238,85
63.81,62.17,107.02,39.14190452,93.68726375,154.3046679,Rice,Sandy,Basmati,54.26
39.57,43.13,62.16,43.64481708,76.3034074,60.18103682,Tomato,Sandy,Cherry,13.91
52.03,49.56,80.94,20.30236996,36.70567744,132.4692863,Wheat,Peaty,Soft Red,44.94
58.98,90.68,172.94,12.67910236,35.22031199,353.0842234,Sugarcane,Silt,Co 99004,85
44.64,43.21,72.63,41.53501107,77.71279814,47.08114341,Potato,Sandy,Russet,19.8
73.14,75.39,112.14,36.71962243,53.83917782,198.5286553,Rice,Silt,Basmati,75.38
62.38,53.96,71.14,38.42647873,41.86488167,70.32835383,Potato,Peaty,Red,41.02
36.47,39.6,73.74,12.63197656,91.66343559,82.5756072,Maize,Sandy,Sweet,22.99
72.68,71.43,92.52,43.51445925,78.00232593,113.2113607,Potato,Silt,Yukon Gold,46.04
83.43,117.99,188.77,33.71705721,95.91075368,394.6494257,Wheat,Loamy,Hard Red,72.29
61.64,84.05,144.6,19.41947421,36.15246995,294.5355828,Rice,Peaty,Basmati,85
60.39,98.75,183.54,14.02317195,52.30435686,382.7239198,Tomato,Clay,Beefsteak,85
58.18,46.87,65.94,33.97250143,33.07385725,49.482738,Maize,Loamy,Dent,11.88
55.72,65.08,117.65,29.38339132,84.61509262,195.3753354,Rice,Sandy,Basmati,54.59
85.74,77.1,113.49,31.5973607,97.71973103,164.1560945,Rice,Silt,Jasmine,85
78.77,78.08,117.92,17.27746471,67.1839463,180.2780955,Sugarcane,Clay,Co 99004,85
87.92,68.38,76.86,24.5029211,96.43790665,89.39796582,Rice,Loamy,Arborio,63.13
79.6,66.54,89.5,39.37810288,55.78192114,129.8952755,Rice,Peaty,Arborio,75.77
69.35,96.75,159.57,42.07129798,31.45349816,325.860994,Tomato,Loamy,Beefsteak,56.12
67.42,104.01,187.55,30.56655084,51.25036912,394.5897449,Rice,Silt,Jasmine,85
63.39,56.33,88.1,36.46741557,67.39452538,102.8461147,Sugarcane,Sandy,Co 86032,36.83
53.86,51.72,61.92,21.84215099,85.23539173,32.70010012,Potato,Silt,Red,36.6
70.78,92.57,154.54,27.22853464,81.91529306,293.5288017,Maize,Silt,Sweet,72.03
30.96,76.68,171.84,11.16352448,59.37378403,377.3311209,Wheat,Sandy,Soft Red,41.82
65.55,98.38,171.79,16.30372827,54.95250998,327.0267339,Potato,Loamy,Red,69.41
