Temperature,Humidity,Rainfall,Sunlight,Crop_Type,Crop_Stage,Soil_Moisture
25.93,88.44,11.58,High,Rice,Flowering,49.18
31.68,65.14,17.05,Low,Rice,Harvest,63.99
23.72,69.75,13.5,Low,Sugarcane,Seedling,79.71
31.39,68.95,0.79,Low,Sugarcane,Harvest,37.35
26.33,53.04,13.39,Moderate,Wheat,Flowering,52.64
33.43,55.0,6.32,Low,Rice,Fruiting,40.6
31.26,45.0,10.75,High,Maize,Vegetative,48.07
37.62,83.96,7.39,Low,Sugarcane,Harvest,53.61
32.23,89.36,13.08,Low,Cotton,Flowering,71.71
22.07,83.91,5.29,Low,Cotton,Vegetative,54.51
32.1,75.88,4.07,High,Maize,Harvest,34.85
38.11,82.31,1.85,Moderate,Maize,Seedling,26.33
35.42,71.86,5.24,High,Sugarcane,Harvest,37.04
31.22,45.59,18.9,High,Wheat,Harvest,51.86
27.38,67.63,8.6,Low,Maize,Flowering,58.69
35.92,83.04,17.98,Low,Wheat,Seedling,74.39
31.2,83.74,19.48,High,Wheat,Vegetative,77.85
39.52,80.54,17.63,Low,Wheat,Flowering,70.85
28.23,73.5,14.7,Low,Maize,Vegetative,75.4
22.16,83.61,17.17,Low,Wheat,Fruiting,77.72
36.41,83.57,4.46,High,Wheat,Fruiting,28.01
37.29,88.34,5.58,High,Cotton,Fruiting,36.82
36.87,56.56,0.55,Moderate,Wheat,Harvest,30.08
25.31,45.42,8.69,High,Maize,Fruiting,39.2
30.23,59.26,11.53,Moderate,Rice,Fruiting,40.99
38.51,66.92,14.39,High,Wheat,Flowering,44.83
38.98,86.04,12.46,High,Rice,Flowering,47.15
33.34,56.31,13.94,High,Wheat,Vegetative,48.62
38.81,73.87,18.06,High,Cotton,Flowering,54.34
36.67,55.19,4.2,High,Cotton,Flowering,20.9
28.84,50.69,9.46,High,Wheat,Seedling,40.49
33.28,70.96,1.87,Low,Maize,Vegetative,42.68
22.95,42.31,19.68,High,Rice,Fruiting,61.26
32.6,49.72,13.93,Moderate,Sugarcane,Vegetative,47.84
33.75,84.63,17.21,Low,Sugarcane,Vegetative,70.07
39.16,65.9,1.0,Low,Rice,Fruiting,19.78
29.29,66.56,11.18,Moderate,Sugarcane,Harvest,60.17
37.84,61.34,18.14,Moderate,Wheat,Fruiting,57.24
35.04,81.99,5.55,High,Sugarcane,Vegetative,34.17
21.55,54.29,5.43,Moderate,Cotton,Seedling,41.21
24.63,74.7,14.13,Low,Sugarcane,Fruiting,66.09
29.32,43.11,16.66,Moderate,Cotton,Seedling,67.84
35.31,59.02,0.12,Moderate,Maize,Fruiting,25.38
39.07,60.95,14.95,High,Cotton,Vegetative,48.73
25.46,64.28,7.78,High,Sugarcane,Vegetative,50.48
38.39,89.04,10.68,Moderate,Cotton,Harvest,56.1
21.68,61.43,17.34,Low,Rice,Flowering,72.3
24.23,56.34,15.22,Moderate,Maize,Fruiting,57.04
21.64,40.97,10.79,Moderate,Wheat,Seedling,59.22
33.04,77.71,18.99,Low,Rice,Harvest,72.1
22.52,73.47,11.28,Low,Sugarcane,Flowering,68.11
23.36,70.36,14.96,Low,Wheat,Flowering,64.06
20.51,55.6,13.55,Moderate,Sugarcane,Vegetative,57.3
33.81,71.36,2.04,Moderate,Cotton,Seedling,39.59
31.32,42.05,10.65,High,Maize,Seedling,42.08
26.82,82.48,16.45,Low,Sugarcane,Flowering,76.65
36.57,75.37,8.71,High,Cotton,Flowering,39.37
38.39,78.73,9.3,High,Cotton,Flowering,35.52
24.91,86.73,5.58,Moderate,Wheat,Fruiting,49.48
33.36,56.82,9.89,Moderate,Wheat,Fruiting,37.51
35.96,57.02,17.61,High,Maize,Harvest,48.24
38.96,44.28,14.4,Moderate,Cotton,Vegetative,50.85
32.92,64.54,15.86,Low,Maize,Vegetative,65.39
24.87,73.2,7.38,High,Cotton,Flowering,42.11
34.92,56.54,14.06,Moderate,Maize,Flowering,45.65
34.43,55.78,14.86,High,Wheat,Vegetative,46.34
29.68,76.23,19.53,High,Cotton,Flowering,74.78
36.65,54.81,7.22,Moderate,Rice,Harvest,31.03
20.91,42.73,5.84,Low,Sugarcane,Seedling,55.9
31.48,63.47,8.81,Low,Rice,Flowering,55.3
29.55,81.11,8.01,Low,Cotton,Seedling,53.74
36.22,87.46,1.7,Low,Rice,Harvest,44.23
32.13,79.54,4.51,High,Sugarcane,Fruiting,39.62
25.95,69.43,8.58,High,Cotton,Seedling,51.7
34.8,87.38,4.16,Low,Maize,Seedling,43.04
23.48,43.75,0.05,Moderate,Cotton,Fruiting,21.11
24.63,75.35,14.06,Moderate,Rice,Vegetative,74.62
35.76,71.25,13.22,Low,Sugarcane,Seedling,63.56
32.95,85.42,16.53,Low,Rice,Vegetative,79.31
31.9,81.21,18.42,Moderate,Rice,Fruiting,72.39
33.99,87.13,10.01,Moderate,Sugarcane,Seedling,58.54
37.79,76.73,12.07,Low,Rice,Vegetative,65.73
36.72,68.76,19.02,High,Maize,Harvest,54.74
35.13,63.53,13.03,Moderate,Wheat,Harvest,52.6
36.28,88.45,9.4,Moderate,Maize,Flowering,50.91
37.15,56.49,13.87,Moderate,Sugarcane,Harvest,44.33
21.76,52.62,2.32,Moderate,Cotton,Seedling,42.0
30.85,60.66,3.75,Moderate,Cotton,Fruiting,33.77
35.2,50.18,10.98,Moderate,Sugarcane,Fruiting,34.99
39.46,70.44,4.79,Low,Maize,Harvest,31.32
28.16,51.24,16.83,Low,Sugarcane,Seedling,73.23
23.08,86.63,5.84,High,Maize,Fruiting,50.73
39.6,52.19,11.03,Moderate,Wheat,Harvest,42.37
37.59,83.2,5.52,Moderate,Maize,Harvest,37.31
20.05,76.3,16.75,High,Sugarcane,Vegetative,71.84
29.69,56.62,15.26,Moderate,Sugarcane,Flowering,62.72
39.62,51.94,7.66,Moderate,Rice,Flowering,34.65
34.1,80.57,7.72,High,Wheat,Fruiting,46.31
22.52,88.27,6.64,Low,Sugarcane,Seedling,64.49
29.14,76.12,8.2,High,Wheat,Seedling,48.08
39.38,56.93,13.85,High,Rice,Flowering,46.68
37.19,59.0,6.33,High,Sugarcane,Harvest,23.45
21.37,71.56,18.42,Low,Rice,Fruiting,87.55
35.21,75.19,2.01,Low,Maize,Seedling,32.55
35.92,54.67,7.5,Low,Wheat,Harvest,41.76
33.64,49.0,3.5,High,Sugarcane,Harvest,27.42
29.95,69.16,4.64,High,Maize,Fruiting,28.08
20.19,80.23,18.02,High,Cotton,Vegetative,69.74
38.9,89.38,5.98,Moderate,Maize,Fruiting,44.37
23.98,59.23,9.66,Low,Sugarcane,Harvest,56.58
25.92,74.96,0.44,High,Sugarcane,Flowering,19.85
37.3,78.92,19.47,High,Sugarcane,Flowering,66.08
24.6,80.1,4.38,Low,Cotton,Flowering,51.83
34.42,72.96,16.77,High,Rice,Seedling,59.19
28.82,68.98,14.65,Low,Maize,Flowering,68.83
23.51,46.61,10.79,Moderate,Cotton,Harvest,59.53
36.61,52.85,16.49,Moderate,Maize,Flowering,57.71
29.37,43.76,15.08,Low,Sugarcane,Harvest,59.66
35.81,40.7,10.73,Moderate,Maize,Flowering,38.52
36.45,87.01,2.17,Low,Sugarcane,Seedling,44.63
38.86,56.4,12.2,High,Rice,Fruiting,44.22
26.04,60.41,2.8,Low,Maize,Fruiting,32.31
24.7,66.88,7.77,Moderate,Cotton,Fruiting,48.8
34.53,84.27,13.1,Moderate,Cotton,Fruiting,63.5
25.59,74.51,4.35,Moderate,Wheat,Flowering,35.04
33.71,67.22,19.56,Moderate,Rice,Fruiting,62.64
39.36,87.45,16.48,Low,Wheat,Harvest,77.54
21.01,56.68,19.78,High,Wheat,Seedling,79.99
31.08,69.32,16.26,Low,Maize,Vegetative,75.32
31.92,53.86,19.68,Low,Cotton,Flowering,73.69
22.2,83.32,2.64,Moderate,Wheat,Harvest,44.22
23.48,42.62,14.83,High,Rice,Seedling,57.25
35.56,65.66,2.18,High,Wheat,Harvest,17.74
35.66,83.35,10.43,Moderate,Rice,Seedling,63.4
36.95,61.31,2.16,High,Sugarcane,Seedling,30.97
26.44,47.42,2.52,High,Cotton,Harvest,31.01
27.62,69.87,5.9,High,Cotton,Fruiting,30.43
34.04,82.64,13.02,High,Wheat,Fruiting,50.43
24.57,56.95,9.07,Moderate,Rice,Flowering,46.21
33.3,58.72,3.05,Moderate,Rice,Seedling,38.99
21.86,44.83,14.78,Low,Cotton,Seedling,70.86
31.23,56.48,2.44,Moderate,Sugarcane,Seedling,40.82
32.01,57.58,11.56,Low,Wheat,Fruiting,47.69
22.16,82.27,7.35,Moderate,Cotton,Vegetative,62.04
36.9,88.73,16.37,High,Cotton,Seedling,65.86
33.16,74.67,0.58,Moderate,Maize,Flowering,24.77
23.63,47.16,13.15,Low,Wheat,Seedling,58.64
30.61,58.81,9.07,Low,Maize,Flowering,51.65
35.54,68.38,1.7,Low,Wheat,Vegetative,38.89
21.0,44.08,8.86,Moderate,Sugarcane,Harvest,48.99
25.46,77.75,2.28,Moderate,Rice,Flowering,40.82
31.86,66.35,6.17,Low,Sugarcane,Harvest,39.87
24.09,87.27,15.35,Moderate,Maize,Flowering,64.6
29.95,61.53,2.58,High,Wheat,Harvest,30.11
33.36,57.71,7.94,High,Rice,Fruiting,25.39
38.42,83.11,11.52,High,Sugarcane,Fruiting,41.17
28.1,88.31,3.44,High,Sugarcane,Flowering,29.99
36.89,52.17,11.78,High,Rice,Fruiting,42.98
34.92,51.08,15.58,Low,Cotton,Seedling,63.15
23.88,78.81,7.02,High,Wheat,Vegetative,42.63
25.12,48.67,3.06,High,Rice,Vegetative,37.46
32.56,63.2,11.27,High,Sugarcane,Harvest,48.99
39.73,56.16,19.42,Moderate,Wheat,Fruiting,50.88
28.84,55.14,5.49,Low,Maize,Harvest,37.74
29.23,41.88,7.37,Moderate,Rice,Seedling,43.23
30.14,63.14,11.09,High,Rice,Fruiting,50.77
31.43,49.41,12.1,High,Wheat,Seedling,46.51
36.22,81.87,19.65,Low,Cotton,Vegetative,70.44
34.15,89.55,10.48,High,Wheat,Flowering,45.57
25.66,60.44,6.77,High,Rice,Flowering,30.55
21.89,73.92,5.68,High,Cotton,Vegetative,43.49
31.65,47.07,7.0,High,Sugarcane,Vegetative,34.72
38.76,55.48,7.53,Moderate,Wheat,Harvest,29.7
33.41,65.42,0.36,Moderate,Wheat,Vegetative,25.16
35.32,49.6,20.0,Low,Rice,Flowering,71.13
22.02,78.54,16.7,High,Rice,Flowering,73.71
32.36,69.86,3.09,Low,Cotton,Vegetative,44.41
20.87,58.21,14.39,Moderate,Cotton,Flowering,66.46
35.68,51.7,4.78,Moderate,Wheat,Flowering,30.33
31.41,62.03,15.39,Moderate,Cotton,Harvest,60.04
23.24,49.98,12.09,Moderate,Rice,Fruiting,58.99
31.09,45.13,16.92,Low,Maize,Seedling,71.1
25.46,85.27,2.95,Moderate,Rice,Vegetative,50.77
37.69,86.52,8.3,Moderate,Cotton,Flowering,39.84
39.89,58.75,0.56,Low,Maize,Vegetative,20.15
25.74,81.49,13.92,Low,Sugarcane,Fruiting,71.32
38.12,40.95,4.31,Low,Cotton,Harvest,30.72
22.22,54.41,6.02,Low,Wheat,Fruiting,49.01
32.46,43.14,16.73,Moderate,Cotton,Harvest,50.04
30.31,52.1,2.87,Moderate,Rice,Harvest,29.34
31.41,49.37,13.36,High,Maize,Seedling,57.33
30.88,79.32,10.15,Low,Sugarcane,Fruiting,49.12
27.74,58.67,14.95,Moderate,Rice,Flowering,54.16
33.14,45.18,11.64,Moderate,Wheat,Seedling,46.29
26.77,72.14,16.61,High,Sugarcane,Fruiting,63.88
36.23,43.16,15.52,Moderate,Rice,Flowering,43.33
35.82,84.29,6.31,Moderate,Cotton,Fruiting,48.34
30.86,52.67,15.07,Low,Maize,Flowering,65.06
20.96,72.79,5.46,Moderate,Sugarcane,Fruiting,50.97
37.89,59.33,19.47,Moderate,Sugarcane,Flowering,67.11
30.39,80.06,14.54,Low,Sugarcane,Harvest,78.62
23.61,54.69,2.05,Moderate,Maize,Flowering,31.16
34.35,48.33,8.88,Moderate,Rice,Flowering,38.39
28.7,71.97,15.83,Low,Rice,Fruiting,66.27
36.02,73.97,19.06,Low,Cotton,Fruiting,62.86
21.34,78.93,7.33,Moderate,Cotton,Seedling,60.41
33.58,87.44,7.44,Low,Cotton,Vegetative,55.21
27.96,72.48,4.99,Low,Rice,Vegetative,49.34
27.74,68.08,5.24,Moderate,Sugarcane,Vegetative,51.7
25.71,85.82,9.82,Low,Wheat,Seedling,67.01
37.97,62.26,1.76,High,Maize,Flowering,20.53
31.0,54.52,6.0,Low,Wheat,Flowering,39.9
22.43,50.05,2.78,Moderate,Rice,Flowering,34.05
27.38,80.18,11.03,High,Rice,Seedling,54.36
39.99,75.94,10.51,Moderate,Cotton,Seedling,43.92
26.34,43.71,9.32,High,Maize,Vegetative,47.59
35.61,71.99,3.64,Low,Sugarcane,Harvest,46.69
21.11,46.21,3.06,Low,Wheat,Flowering,45.66
24.51,87.37,10.38,Moderate,Rice,Flowering,54.58
39.13,53.72,12.5,High,Cotton,Seedling,43.35
23.37,87.08,3.08,High,Cotton,Harvest,40.61
38.48,42.06,17.28,Low,Rice,Harvest,55.08
24.22,68.61,12.36,Low,Sugarcane,Harvest,64.03
39.13,64.15,16.09,High,Sugarcane,Flowering,47.6
33.77,47.9,8.31,Moderate,Wheat,Flowering,37.34
26.25,75.92,14.68,Moderate,Sugarcane,Vegetative,72.24
30.3,45.31,4.83,Low,Maize,Fruiting,30.95
21.94,54.51,7.68,High,Sugarcane,Vegetative,52.1
38.05,80.67,18.68,High,Maize,Vegetative,68.07
29.97,65.74,9.98,Moderate,Sugarcane,Seedling,47.14
27.86,62.86,4.81,High,Maize,Seedling,30.96
29.9,84.12,13.09,Moderate,Maize,Harvest,56.24
22.15,46.7,5.29,Moderate,Sugarcane,Flowering,30.65
21.02,68.09,7.25,Moderate,Rice,Fruiting,49.63
35.29,53.99,19.78,High,Cotton,Seedling,56.54
21.93,58.66,19.74,High,Maize,Vegetative,67.67
30.18,65.0,0.91,Low,Maize,Fruiting,32.67
22.98,84.66,2.8,High,Maize,Vegetative,40.46
32.33,82.13,11.87,High,Cotton,Harvest,53.73
31.26,63.74,0.33,Moderate,Rice,Fruiting,26.18
35.94,76.27,13.76,Low,Cotton,Fruiting,55.65
33.11,88.6,11.57,Low,Rice,Harvest,64.23
30.48,76.06,15.49,Moderate,Wheat,Vegetative,59.02
38.96,45.49,0.38,Moderate,Sugarcane,Vegetative,15.92
24.08,65.09,12.23,Moderate,Rice,Vegetative,61.47
31.22,89.91,9.57,Moderate,Maize,Vegetative,56.41
30.66,67.31,13.52,High,Maize,Harvest,54.16
39.15,53.95,5.97,Moderate,Maize,Vegetative,35.04
29.78,63.99,11.21,High,Maize,Flowering,38.98
33.53,58.98,19.6,Moderate,Wheat,Flowering,56.66
39.11,43.95,18.48,High,Maize,Fruiting,42.98
36.56,53.56,11.24,Moderate,Wheat,Seedling,49.4
31.74,52.12,13.4,High,Wheat,Vegetative,41.56
28.27,75.87,2.01,Low,Rice,Harvest,51.21
23.16,72.64,17.61,Moderate,Sugarcane,Vegetative,80.1
25.74,54.27,1.18,Low,Cotton,Vegetative,37.85
34.46,86.83,18.26,Low,Sugarcane,Vegetative,84.6
20.73,81.81,15.76,Low,Maize,Seedling,75.78
31.36,45.37,19.66,Moderate,Sugarcane,Harvest,66.16
37.79,46.71,10.08,Moderate,Wheat,Seedling,39.25
34.62,72.41,14.37,Low,Maize,Flowering,61.73
35.15,48.77,17.12,Moderate,Sugarcane,Harvest,55.42
28.02,44.77,19.63,Moderate,Maize,Vegetative,60.31
27.67,62.34,5.34,Moderate,Maize,Harvest,45.88
20.23,72.68,13.86,Low,Rice,Fruiting,68.02
28.11,65.13,17.9,High,Maize,Seedling,69.65
38.81,58.38,4.42,Low,Sugarcane,Vegetative,34.47
39.78,58.68,14.04,Moderate,Cotton,Vegetative,54.86
33.61,69.79,15.75,High,Sugarcane,Harvest,60.96
21.56,68.21,1.24,High,Cotton,Vegetative,36.11
23.0,56.41,10.41,Low,Wheat,Harvest,60.25
37.98,62.27,1.11,Low,Cotton,Fruiting,25.05
21.15,63.12,16.14,High,Rice,Fruiting,58.6
20.06,50.9,1.46,Moderate,Maize,Seedling,39.09
21.21,84.71,19.72,Moderate,Rice,Flowering,80.37
35.38,78.29,19.57,High,Sugarcane,Flowering,71.12
27.65,83.48,18.14,Moderate,Rice,Harvest,70.96
37.21,45.93,19.86,Moderate,Cotton,Vegetative,65.35
24.45,40.17,0.45,Moderate,Sugarcane,Harvest,26.27
27.59,51.48,9.21,Low,Maize,Vegetative,59.63
34.5,45.64,16.19,Moderate,Cotton,Seedling,53.56
21.35,69.7,8.93,High,Rice,Vegetative,56.32
28.05,51.72,4.35,Low,Wheat,Harvest,49.54
24.68,85.82,11.52,High,Cotton,Flowering,52.14
37.53,89.28,10.43,Moderate,Maize,Flowering,42.68
38.97,83.99,18.23,High,Sugarcane,Harvest,63.06
39.45,87.08,13.43,High,Maize,Fruiting,47.64
26.0,49.19,10.76,Low,Wheat,Flowering,58.35
22.89,63.15,1.15,Moderate,Sugarcane,Harvest,37.64
27.77,52.75,6.61,Low,Sugarcane,Flowering,36.63
34.49,49.52,5.37,High,Cotton,Harvest,20.71
21.46,80.23,11.75,High,Cotton,Vegetative,61.42
37.39,56.65,19.14,Low,Wheat,Vegetative,75.58
22.35,89.98,9.58,Low,Cotton,Vegetative,67.54
24.79,56.08,5.66,Moderate,Cotton,Flowering,36.38
27.19,84.14,9.32,High,Sugarcane,Flowering,55.62
27.41,60.7,11.25,Low,Wheat,Seedling,58.2
38.7,68.96,8.35,Low,Wheat,Flowering,38.78
31.4,52.29,11.01,High,Maize,Flowering,44.0
29.77,76.18,14.79,Moderate,Wheat,Flowering,56.28
34.41,64.42,18.34,High,Rice,Harvest,53.69
36.93,87.26,13.36,Low,Sugarcane,Vegetative,70.51
24.63,75.36,0.18,High,Sugarcane,Flowering,21.27
32.75,86.7,18.26,High,Sugarcane,Seedling,63.09
31.03,40.59,10.59,Moderate,Cotton,Flowering,32.93
36.26,73.7,16.12,Low,Rice,Seedling,69.96
24.82,70.99,5.05,Moderate,Maize,Fruiting,35.82
39.19,62.95,4.86,High,Wheat,Flowering,26.17
36.96,72.69,17.16,Low,Rice,Fruiting,63.06
31.05,42.81,0.19,Low,Rice,Fruiting,28.95
32.9,56.56,19.55,Low,Cotton,Seedling,70.33
38.03,74.61,11.34,Moderate,Rice,Seedling,55.86
25.61,67.15,13.16,Low,Maize,Seedling,76.99
31.74,77.61,14.25,Moderate,Rice,Flowering,53.84
24.81,81.73,7.78,High,Maize,Fruiting,50.88
22.8,89.42,14.48,High,Maize,Seedling,65.0
24.64,43.8,12.1,High,Cotton,Fruiting,52.55
26.53,71.71,15.67,Moderate,Sugarcane,Vegetative,66.46
38.82,61.59,13.59,High,Sugarcane,Seedling,52.67
25.91,52.32,1.47,Moderate,Wheat,Fruiting,31.59
32.68,76.98,6.33,Low,Rice,Seedling,58.96
28.89,78.07,2.04,Low,Wheat,Fruiting,38.98
31.09,60.4,0.53,Moderate,Cotton,Seedling,31.96
35.69,83.19,0.25,Moderate,Sugarcane,Seedling,36.55
31.19,89.64,4.85,High,Wheat,Fruiting,32.32
25.38,53.42,2.92,Low,Sugarcane,Flowering,35.88
29.68,43.85,5.03,Low,Sugarcane,Harvest,41.34
29.16,46.77,0.14,Moderate,Maize,Harvest,23.09
37.24,62.01,8.61,High,Cotton,Vegetative,33.56
32.06,74.76,9.58,Low,Sugarcane,Flowering,49.52
33.9,64.55,11.52,Low,Maize,Fruiting,49.07
35.72,58.25,18.64,Low,Cotton,Harvest,63.79
35.35,41.35,14.54,High,Wheat,Fruiting,45.88
36.63,43.46,16.96,Moderate,Sugarcane,Vegetative,57.18
24.84,72.93,14.3,Moderate,Rice,Fruiting,71.32
29.58,60.04,10.13,High,Sugarcane,Harvest,38.22
39.37,75.08,16.25,High,Rice,Seedling,62.08
33.15,57.75,12.94,Low,Cotton,Fruiting,61.74
26.63,79.81,2.12,Low,Maize,Vegetative,46.47
30.38,69.03,11.5,Moderate,Maize,Fruiting,51.11
33.59,74.52,3.01,Low,Sugarcane,Seedling,39.83
38.41,44.29,16.63,High,Wheat,Flowering,41.14
29.11,50.34,9.66,Moderate,Rice,Fruiting,46.62
29.05,43.36,0.89,High,Rice,Seedling,28.31
32.96,73.86,3.29,High,Wheat,Harvest,26.82
23.2,67.99,19.17,Low,Sugarcane,Vegetative,77.99
33.15,59.78,14.75,Low,Sugarcane,Harvest,61.74
20.09,50.74,5.57,High,Rice,Harvest,34.03
37.44,49.35,6.52,Moderate,Rice,Flowering,31.93
29.79,88.3,6.27,Moderate,Cotton,Fruiting,47.84
26.96,82.28,12.35,High,Maize,Harvest,60.73
33.44,55.66,4.77,Low,Wheat,Flowering,38.53
30.22,60.91,2.76,Moderate,Sugarcane,Vegetative,33.96
30.75,85.96,18.61,Low,Cotton,Vegetative,80.96
22.81,55.73,9.02,Low,Maize,Seedling,59.07
23.9,59.2,11.23,High,Sugarcane,Fruiting,51.3
28.31,81.99,9.77,Low,Cotton,Seedling,69.18
24.41,41.63,4.5,Moderate,Wheat,Fruiting,33.91
35.45,64.77,10.22,High,Rice,Flowering,42.96
36.47,58.34,16.45,Low,Sugarcane,Harvest,59.01
28.5,76.8,13.07,Low,Maize,Seedling,69.19
26.97,80.84,8.78,Low,Wheat,Vegetative,65.96
31.76,57.53,14.22,High,Sugarcane,Vegetative,53.99
35.7,80.68,16.11,High,Maize,Harvest,56.58
30.78,56.18,14.08,Moderate,Cotton,Flowering,60.44
30.29,85.01,16.3,Low,Sugarcane,Seedling,86.01
37.34,46.34,17.32,Low,Wheat,Flowering,62.39
35.23,73.81,9.79,High,Maize,Fruiting,38.5
21.51,79.73,15.38,Moderate,Cotton,Flowering,73.66
37.55,62.73,9.76,High,Rice,Seedling,44.95
29.17,73.21,7.16,Low,Cotton,Fruiting,44.86
28.59,50.59,5.37,Moderate,Maize,Harvest,39.37
31.32,64.27,6.87,High,Rice,Seedling,33.93
35.68,62.98,2.48,Low,Sugarcane,Fruiting,22.82
39.16,50.12,13.77,Low,Maize,Vegetative,58.99
37.53,44.67,7.21,Low,Maize,Vegetative,31.07
32.51,76.3,15.1,Moderate,Rice,Seedling,58.12
29.54,46.63,4.52,High,Sugarcane,Seedling,23.43
26.87,46.03,17.21,High,Wheat,Fruiting,48.31
27.66,76.54,2.05,Moderate,Maize,Flowering,29.54
35.47,77.66,2.66,High,Wheat,Seedling,32.26
20.17,72.5,8.8,High,Wheat,Vegetative,60.69
32.32,62.12,4.34,Low,Wheat,Seedling,44.76
27.68,88.16,6.29,Low,Wheat,Flowering,55.46
24.96,70.05,14.42,Moderate,Rice,Flowering,58.06
32.14,49.43,7.84,High,Rice,Vegetative,35.28
22.25,64.98,11.88,High,Rice,Flowering,59.77
22.64,83.04,11.37,Moderate,Cotton,Vegetative,70.02
39.09,78.52,0.33,Low,Rice,Flowering,23.46
38.45,87.43,7.96,Moderate,Cotton,Fruiting,41.76
28.05,72.03,10.75,Low,Maize,Seedling,60.78
30.23,50.16,16.16,High,Maize,Fruiting,52.8
35.26,72.49,12.86,Moderate,Sugarcane,Vegetative,48.76
21.72,61.72,9.07,High,Rice,Flowering,48.75
33.16,48.78,0.25,Low,Rice,Vegetative,27.6
26.93,65.86,16.45,Moderate,Wheat,Flowering,58.43
35.62,53.44,17.73,Low,Maize,Fruiting,57.89
21.28,75.62,11.53,Low,Sugarcane,Fruiting,66.2
21.11,82.97,3.34,Low,Maize,Seedling,62.66
33.48,45.77,14.82,Low,Rice,Seedling,56.46
29.44,59.15,3.0,Low,Cotton,Fruiting,31.39
24.97,85.79,6.4,Low,Cotton,Flowering,48.75
33.47,42.63,4.46,High,Rice,Fruiting,13.93
29.3,54.12,16.9,Moderate,Rice,Harvest,63.28
27.38,54.58,15.69,High,Cotton,Vegetative,57.41
31.83,64.67,15.45,Low,Cotton,Vegetative,61.34
38.65,41.2,10.83,High,Rice,Flowering,22.29
33.15,82.45,14.54,Low,Wheat,Harvest,76.93
28.4,88.06,19.45,Low,Maize,Seedling,80.19
24.63,82.28,8.26,Moderate,Sugarcane,Seedling,60.44
30.11,71.86,7.89,High,Cotton,Seedling,44.79
39.28,51.84,5.22,Moderate,Sugarcane,Flowering,22.7
25.44,43.73,4.05,High,Rice,Vegetative,24.37
28.99,55.7,2.41,Moderate,Wheat,Fruiting,25.75
25.3,46.0,3.15,High,Maize,Harvest,22.14
36.72,56.39,1.82,Low,Maize,Fruiting,26.76
33.54,53.01,19.81,Low,Sugarcane,Fruiting,68.55
31.0,44.74,2.04,Low,Rice,Seedling,27.1
35.62,51.11,3.96,Moderate,Maize,Seedling,32.87
25.18,80.64,0.44,Low,Wheat,Fruiting,44.96
21.84,82.36,16.18,Low,Rice,Fruiting,70.64
38.48,61.66,14.49,Moderate,Rice,Fruiting,52.52
23.46,50.74,3.74,Moderate,Sugarcane,Vegetative,31.24
32.38,52.29,5.9,Moderate,Cotton,Fruiting,25.74
25.6,46.86,3.99,High,Wheat,Harvest,36.07
39.79,79.1,7.18,High,Sugarcane,Flowering,39.3
30.05,59.42,3.6,Moderate,Cotton,Vegetative,28.17
36.21,54.05,16.17,Moderate,Cotton,Flowering,57.09
39.99,88.7,2.0,High,Wheat,Flowering,24.56
35.82,76.85,15.28,Low,Cotton,Fruiting,60.69
36.78,82.26,3.52,High,Maize,Flowering,34.62
20.56,75.03,18.95,High,Wheat,Harvest,83.92
